date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:14:21	14238/14238	U--MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2013%20May%202026%2013:14:21%20GMT	https://bhide.net/robots.txt		(from )
09:14:21	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2013%20May%202026%2013:14:21%20GMT	https://bhide.net/	C:/My%20Web%20Sites/bhide-static/bhide.net/index.html	(from )
09:14:22	85079/85079	---MCZ	200	added ('OK')	text/html	date:Wed,%2013%20May%202026%2013:14:22%20GMT	https://bhide.net/wordpress_files/	C:/My%20Web%20Sites/bhide-static/bhide.net/wordpress_files/index.html	(from https://bhide.net/)
09:14:22	2266/2266	---M-Z	200	added ('OK')	application/json	date:Wed,%2013%20May%202026%2013:14:22%20GMT	https://bhide.net/wordpress_files/index.php/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fbhide.net%2Fwordpress_files%2F	C:/My%20Web%20Sites/bhide-static/bhide.net/wordpress_files/index.php/wp-json/oembed/1.0/embed7659.json	(from https://bhide.net/wordpress_files/)
09:14:22	33649/33649	---MCZ	200	added ('OK')	application/rss+xml	etag:%22a9a7486815719c6e668f52c73336c2f9%22	https://bhide.net/wordpress_files/index.php/feed/	C:/My%20Web%20Sites/bhide-static/bhide.net/wordpress_files/index.php/feed/index.html	(from https://bhide.net/wordpress_files/)
09:14:22	7253/7253	---M-Z	200	added ('OK')	application/rss+xml	etag:%22a9a7486815719c6e668f52c73336c2f9%22	https://bhide.net/wordpress_files/index.php/comments/feed/	C:/My%20Web%20Sites/bhide-static/bhide.net/wordpress_files/index.php/comments/feed/index.html	(from https://bhide.net/wordpress_files/)
09:14:23	2415/2415	---M-Z	200	added ('OK')	text/xml	date:Wed,%2013%20May%202026%2013:14:23%20GMT	https://bhide.net/wordpress_files/index.php/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fbhide.net%2Fwordpress_files%2F&format=xml	C:/My%20Web%20Sites/bhide-static/bhide.net/wordpress_files/index.php/wp-json/oembed/1.0/embed4126	(from https://bhide.net/wordpress_files/)
09:14:23	196197/196197	---M-Z	200	added ('OK')	text/css	date:Tue,%2016%20Dec%202025%2021:21:16%20GMT	https://bhide.net/wordpress_files/wp-content/themes/colormag-pro/style.css?ver=5.1.4	C:/My%20Web%20Sites/bhide-static/bhide.net/wordpress_files/wp-content/themes/colormag-pro/style58e0.css	(from https://bhide.net/wordpress_files/)
09:14:23	13470/13470	---M-Z	200	added ('OK')	text/css	date:Tue,%2016%20Dec%202025%2021:21:15%20GMT	https://bhide.net/wordpress_files/wp-content/themes/colormag-pro/dark.css?ver=5.1.4	C:/My%20Web%20Sites/bhide-static/bhide.net/wordpress_files/wp-content/themes/colormag-pro/dark58e0.css	(from https://bhide.net/wordpress_files/)
09:14:23	5600/5600	---M-Z	200	added ('OK')	text/css	date:Tue,%2016%20Dec%202025%2021:21:15%20GMT	https://bhide.net/wordpress_files/wp-content/themes/colormag-pro/assets/css/jquery.newsticker.css?ver=5.1.4	C:/My%20Web%20Sites/bhide-static/bhide.net/wordpress_files/wp-content/themes/colormag-pro/assets/css/jquery.newsticker58e0.css	(from https://bhide.net/wordpress_files/)
